Measure,Location,Sex,Age,Cause,Risk,Metric,Year,Value,Upper,Lower
Deaths,Bahamas,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,42.94172891,79.35251292,13.0636222
Deaths,Ecuador,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,991.4414293,1697.974095,487.8989533
Deaths,Ecuador,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,761.6372002,1393.578627,356.95617
Deaths,Mexico,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,20560.02289,26842.75814,14778.02812
Deaths,Mexico,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,16022.14963,20891.5093,11862.14437
Deaths,Argentina,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,6981.731075,12356.83208,2756.338111
Deaths,Argentina,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,4432.698696,7952.515932,1728.275736
Deaths,Dominica,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,11.9671107,23.21451503,4.520219682
Deaths,Dominica,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,12.22919024,24.59757132,4.269888478
Deaths,Barbados,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,82.59979928,131.705433,39.06356804
Deaths,Barbados,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,92.28233011,145.4611032,43.82516918
Deaths,Guatemala,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,2024.614524,3006.692307,1228.896638
Deaths,Guatemala,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,1709.863978,2584.954657,975.8754942
Deaths,Ecuador,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,2318.474988,3238.229782,1535.282331
Deaths,Ecuador,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,1917.586023,2685.301043,1250.64757
Deaths,Puerto Rico,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,204.8657271,384.4555854,43.94314212
Deaths,Cuba,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,3233.301948,5314.123043,1599.528049
Deaths,Cuba,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,2611.217438,4321.556219,1300.776808
Deaths,Chile,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,3169.050749,3786.553193,2557.986103
Deaths,Chile,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,2639.296339,3214.397585,2084.620181
Deaths,Peru,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,4852.084144,6909.930959,3234.46624
Deaths,Peru,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,4053.397314,5836.6153,2658.641641
Deaths,Panama,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,188.1062783,343.2216209,88.64228927
Deaths,Panama,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,121.4948941,225.3445159,54.60181468
Deaths,Bermuda,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,4.893668985,9.708653938,0.83086601
Deaths,Bermuda,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,3.034795555,5.943640567,0.624282196
Deaths,Saint Kitts and Nevis,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,6.202441904,10.11122729,2.708061721
Deaths,Saint Kitts and Nevis,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,4.646150143,7.525961732,2.161737448
Deaths,Antigua and Barbuda,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,14.71063868,24.91811083,5.909191992
Deaths,Antigua and Barbuda,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,15.28650288,25.40762342,6.174596984
Deaths,Panama,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,367.7245366,548.5345821,213.4320633
Deaths,Panama,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,282.4947994,421.6296055,170.8766929
Deaths,Mexico,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,11785.2351,18343.36491,6632.48166
Deaths,Mexico,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,9413.201462,14586.65134,5210.552355
Deaths,Dominican Republic,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,2254.69856,4026.102575,1038.043981
Deaths,Dominican Republic,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,1543.436795,2787.837616,709.6371037
